exp_method_id,exp_method_code,exp_method_translation,exp_method_desc,reference_id,exp_category
229,CB_MA2_AE,"Combustion/ashing, HNO3/HF, anion exchange (AG1X8 or AGMP1 resin), sample-standard bracketing","Combustion/ashing, HNO3/HF, ion exchange chromatography with AGMP-1 resin, sample-standard bracketing.",NULL,metal_isotope
228,CB_MA2_AE(DS),"Combustion/ashing, HF/HNO3, anion exchange chromatography Fe double-spike (Swanner et al. 2015)","Combustion/ashed followed by HF/HNO3, taken up in HCl, anion exchange chromatography with Fe-double spike. Procedure as in Swanner et al. 2015.",NULL,metal_isotope
271,CB_MA2_AE/CE,"Combustion/ashing, HNO3/HF, anion exchange (AG1X8 resin), cation exchange (AG50W-X8 resin)","Combustion/ashed followed by HF/HNO3 digestion, followed by two-step anion exchange AG1-X8 resin and cation exchange AG50W-X8 resin. See e.g. Barling et al. 2001, Duan et al. 2010.",NULL,metal_isotope
291,CB_MA2_AR,"Combustion/ashing, HNO3/HF, aqua regia","Combustion/ashed, followed by HNO3/HF digest, followed by aqua regia digest",NULL,element
239,CB_MA2_AR_HCl,"Combustion/ashing, HNO3/HF, AR, HCl","Combustion/ashed followed by HF/HNO3 digest, followed by aqua regia digest, followed by HCl digest",NULL,element
159,CB_MA2_H3BO3,"Combustion/ashing, HF/HNO3, H3BO3 to neutralize","Combustion/ashed prior to disgestion with HF and HNO3, neutralization with boric acid to retain Si",NULL,element
281,CB_MA2_HCl/HNO3_2CE,"Combustion/ashing, HF/HNO3, HCl/HNO3, cation ex. chrom x 2 (AG50W for REE, LN resin for Sm Nd)","Combustion/ashed, dissolved in HF-HNO3, dissolved in HCl and HNO3. REE by cation exchange, Sm and Nd with Eichrom LN Resin",NULL,metal_isotope
279,CB_MA2_HCl/HNO3_AE/2CE,"Combustion/ashing, HF/HNO3, HCl/HNO3, 3step chrom (anion AG1X8,  cation TRU, cation LN)","Dissolved in HF-HNO3, dissolved in HCl and HNO3. Nd and Sm extracted using a three stage-chemistry procedure: AE for iron with AG1X8 resin, REE with Eichrom TRU Resin, Sm and Nd with Eichrom LN Resin",NULL,metal_isotope
150,CB_MA3,"Combustion/ashing, HNO3/HCl/HF","Combustion/ashed followed by three acid digestion with nitric, hydrochloric, hydrofluoric acid",NULL,element
266,CB_MA3_2AE/CE,"Combustion/ashing, HNO3/HCl/HF, anion (x2) and cation exchange chromatography","Combustion/ashed, digest in HNO3/HF and HNO3/HCl, double-spike, anion exchange AG1-X8 resin, anion exchange microcolumns AG1-X8 resin, cation exchange AG50W-X8 resin",NULL,metal_isotope
355,CB_MA3_2IE(TRU/UTEVA),"Combustion/ashing, HNO3/HF, HCl, two-step TRU and UTEVA chromatography","Combustion/ashing, HNO3/HF, HCl, two-step TRU and UTEVA column chemistry exchange chromatography (see Anderson et al. 2015)",NULL,metal_isotope
224,CB_MA3_AE,"Combustion/ashing, HNO3/HCl/HF, anion exchange (AG1X8 resin), sample-standard bracketing","Combustion/ashing, HF/HNO3/HCl, anion exchange chromatography with AG1X8 resin. Procedure as in Arnold et al. 2004.",515,metal_isotope
280,CB_MA3_AE/2CE,"Combustion/ashing, HF/HNO3, aqua regia, HCl, 3step chrom. (anion AG1X8, cation TRU, cation LN)","Combustion/ashed, digested to dissolve silicates: HF+HNO3, AR, HCl. three-stage chromatography: AE for iron, CE for REE, Sm and Nd Eichrom LN Resin",NULL,metal_isotope
272,CB_MA3_AE/CE,"Combustion/ashing, HNO3/HCl/HF, anion exchange (most AG1X8 resin), cation exchange (AG50W-X8 resin)","Combustion/ashed followed by HF/HNO3/HCl digestion, followed by two-step anion exchange (AG1-X8 resin most common, GPM-1M for Cheng et al. papers) and cation exchange AG50W-X8 resin. See e.g. Barling et al. 2001, Duan et al. 2010.",NULL,metal_isotope
317,CB_MA3_AR,"Combustion/ashing, HNO3/HCl/HF, AR","Combustion/ashed followed by three acid digestion with nitric, hydrochloric, hydrofluoric acid, followed by aqua regia",NULL,element
226,CB_MA3_AR_AE,"Combustion/ashing, HNO3/HCl/HF, aqua regia, anion exchange (AG1X4 resin), sample-standard bracketing","Combustion/ashing, HF/HNO3/HCl, followed by second digest in aqua regia, followed by ion exchange chromatography with AG1 X4 resin, using standard sample bracketing. See e.g. Arnold et al. 2004.",NULL,metal_isotope
332,CB_MA3_IE,"Combustion/ashing, HNO3/HCl/HF digest, ion exchange chromatography (UTEVA resin)","Combustion/ashed followed by three acid digestion with nitric, hydrochloric, hydrofluoric acid, followed by ion exchange chromatography using UTEVA resin for uranium isotopes. See eg. Weyer et al. 2008",NULL,metal_isotope
212,CB_MA3b,"Combustion/ashing, HF/HNO3/HClO4","Combustion/ashed followed by three-acid digest with hydroflouric, nitric and perchloric acid",NULL,element
245,CB_MA3b_H3BO3,"Combustion/ashing, HNO3/HF/HClO4, H3BO3","Combustion/ashed followed by HF/HNO3/HClO4 digestion, followed by H3BO3",NULL,element
356,CB_MA3b_H3BO3_AE,"Combustion/ashing, HNO3/HCl/HF, anion exchange (AG1X8 resin)","Combustion/ashed followed by HF/HNO3/HClO4/H3BO3 digestion, anion exchange chromatography (AG1-X8 resin)",NULL,NULL
353,CB_MA3d_2IE,"Combustion/ashing, HNO3/HF, aqua regia, ion exchange chromatography (x2)(UTEVA resin)","Combustion/ashed, followed by HNO3/HF digest, followed by aqua regia digest, followed by ion exchange chromatography (twice) with UTEVA resin for uranium isotopes. See e.g. Weyer et al. 2008.",NULL,NULL
331,CB_MA3d_IE,"Combustion/ashing, HNO3/HF, aqua regia, ion exchange chromatography (UTEVA resin)","Combustion/ashed, followed by HNO3/HF digest, followed by aqua regia digest, followed by ion exchange chromatography with UTEVA resin for uranium isotopes. See e.g. Weyer et al. 2008.",NULL,metal_isotope
137,CB_MA4,"Combustion/ashing, HCl/HF/HClO4/HNO3",Combustion/ashed followed by HCl/HF/HClO4/HNO3 digestion,NULL,element
233,CB_MA4_AE,"Combustion/ashing, HCl/HF, HClO4/HNO3, anion exchange (AGMP1 resin), sample-standard bracketing","Combustion/ashed, HCl/HF/HClO4/HNO3, ion exchange chromatography with AGMP1 and standard sample bracketing.",NULL,metal_isotope
232,CB_MA4seq,"Combustion/ashing, seq acid digest HF, AR, ARrev, HNO3 (Kunzmann et al. 2015, Maloney et al. 2024)","Combustion/ashed, sequential acid digest with HF followed by AR, followed by reverse Aqua regia, followed by HNO3. Modified protocol from Kunzmann et al. (2015), see Maloney et al. 2024.",NULL,element
309,CB_MA5,"Combustion/ashing, HNO3/HClO4/HF/H3BO3/HCl","Combustion/ashed, HNO3/HClO4/HF/H3BO3/HCl",NULL,element
225,CB_SeqPy_AE,"Combustion/ashing, seq extract py w/ HNO3, anion exchange (AG1X8 resin), sample-standard bracketing","Ashed, extraction of Fe-py using 16 M HNO3 (after extraction of oxides/clay via HCl, aluminosilicate via HF), anion exchange chromatography with AG1X8 resin, Cu elemental spike, sample-standard bracketing. Procedure as in Arnold et al. 2004.",NULL,metal_isotope
176,CF,Carbonate fusion,Carbonate fusion. See e.g. Intertek method FC7/SIE,NULL,NULL
72,CH2Cl2_HF/BF3_CuO,"CH2Cl2, HF/BF3, cupric oxide, 800degC for 12hrs","Bitumen extracted with methylene chloride, demineralized with HF-BF3, oxidised with cupric oxide, heated to 800degC for 12hrs",NULL,carbon
13,CRS,Chromous chloride reduction (Canfield et al. 1986),"Heated with 6M HCl and chromium chloride under anoxic conditions, sulfur trapped by silver nitrate, precipitated as silver sulfide.",7,iron_sulfur
82,Carius(CrVI-H2S04)_SE/MD/AE,"Carius tube digest CrVI-H2SO4, solvent extract./microdist./anion ex. chrom. (Selby and Creaser 2003)","Re-Os in marine organic-rich rocks: digest in CrVI-H2SO4 carius tube, Re + Os purified using solvent extraction (CHCl3 or CCl4), micro-distillation and anion chromatography. Selby and Creaser 2003 and others.",NULL,metal_isotope
165,Carius(HCl/HNO3)_SE/MD/AE,"Carius tube digest HCl/HNO3, solvent extract./microdist/anion exchange chromatography","Carius tube digestion with HCl and HNO3. Os extracted from acid phase into CCl4, back-extracted into concentrated HBr. See Puchtel et al. 2014",NULL,NULL
360,ConvexA,Multi-step NaOH∕Na2SO4,"KCl∕EtOH, NaOH∕Na2SO4 (incubated for 1 h at 25 degC), NaOH∕Na2SO4 (incubated for 2 h at 99 degC), Na2SO4  (see Oxmann et al. 2008 and Beil et al. 2020).
",NULL,NULL
361,ConvexB,Multi-step H2SO4 and Na2SO4,"H2SO4 (incubated for 2 h at 99 degC), twice Na2SO4. Modified CONVEX P extraction (see Oxmann et al. 2008 and Beil et al. 2020). Sequential after ConvexA
",NULL,NULL
263,DSP,Dual stage protocol (see Huang et al. 2015),Modified combustion-trapping dual-stage protocol of Huang et al. 2015 for mercury isotopes,573,metal_isotope
298,Decarb,"Decarbonated (no details provided, likely HCl or AcOH)","Decarbonisation, no details provided (likely hydrochloric or acetic acid)",NULL,NULL
131,Decarb/CBST,Combustion after acidification,NOT USED Acidification followed by combustion prior to EA-IRMS,NULL,NULL
126,Digest,Unspecified digestion (CMIBS method),Unspecified digestion (originally a CMIBS method),NULL,NULL
11,Dith(1h),"Sodium dithionite extraction, 1hr","Citrate-buffered (pH 4.8) sodium dithionite solution, 1hr.",6,iron_sulfur
12,Dith(2h),"Sodium dithionite extraction, 2hr","Citrate-buffered (pH 4.8) sodium dithionite solution, 2hr.",9,iron_sulfur
119,FA,Fire assay chemical separation,Fire assay chemical separation.,NULL,NULL
98,Fused beads,Fused beads,"Fused beads, no details provided (most likely lithium borate and/or metaborate fused glass beads for XRF)",NULL,NULL
110,Fusion digestion,Fusion digestion (CMIBS method),"Fusion digestion, no details provided (originally CMIBS method)",NULL,NULL
94,H2SO3,Sulfurous acid,Acidification with sulfurous acid,NULL,NULL
62,H3PO4,Phosphoric acid,Acidification with phosphoric acid,NULL,NULL
249,HCl(0.1N)_2CE,"0.1N HCl, two-stage cation exchange chromatography  (AG50W-X12 resin)","Digest with 0.1N HCl, two stage cation exchange chromatography AG 50W-X12 resin (dilute HCl as an eluent). See Pogge von Strandmann 2011, James and Palmer 2000. ",NULL,metal_isotope
216,HCl(0.1NSeq),"0.1N HCl in 4hr, 2hr, 10min sequential steps","Digestion using 0.1 M HCl in three sequential steps, with durations of 4 h, 2 h, and 10 min",NULL,NULL
333,HCl(0.1NSeq)_2IE,"0.1N HCl in 4hr, 2hr, 10min sequential steps, two-step ion exchange chromatography (UTEVA resin)","Digest 0.1N HCl  in 4hr, 2hr, 10min seq. steps, two stage ion exchange chromatography with UTEVA resin for uranium isotopes. See e.g. Weyer et al. 2008.",NULL,NULL
217,HCl(0.25N)_2IE,"0.25N HCl, two-step ion exchange chromatography (UTEVA resin)","Digest 0.25N HCl two step/stage ion exchange chromatography with UTEVA resin for uranium isotopes. See e.g. Lau et al. 2016, Weyer et al. 2008.",NULL,NULL
251,HCl(0.5N),0.5N hydrochloric acid,Hydrochloric acid 0.5N,NULL,NULL
295,HCl(0.5N)_2AE/CE,"0.5N HCl, anion (x2) and cation exchange chromatography","0.5N HCl digest, double-spike, anion exchange AG1-X8, anion exchange AG1-X8, cation exchange AG50W-X8. Oxidization prior to 2nd anion exchange with ammonium persulfate ((NH4)2S2O8).",NULL,metal_isotope
262,HCl(0.5N)_2CE,"0.5N HCl, two-step cation exchange chromatography (AGMP-50 resin)","Dissolved in 0.5N HCl, supernatant for gravity flow column cation exchange (two-step/two sets of columns), BioRad AG MP-50 resin, HCl and HNO3 as eluents",NULL,metal_isotope
357,HCl(0.5N)_AE/CE,"0.5N HCl, anion and cation exchange chromatography","0.5N HCl digest, double-spike, Oxidization with ammonium persulfate ((NH4)2S2O8). Anion exchange AG1-X8, cation exchange AG50W-X8. ",NULL,NULL
325,HCl(0.5N)_CE,"0.5N HCl, cation exchange chromatography (AGMP-50 resin)","Dissolved in 0.5N HCl, mixed with 43Ca-42Ca double tracer, cation exchange column BioRad AG MP-50 resin",NULL,metal_isotope
256,HCl(0.6N)_CE,"0.6N HCl, cation exchange chromatography (AG 50W X12 resin)","0.6N HCl, cation exchange chromatography with AG 50W X12 resin.",NULL,metal_isotope
6,HCl(12N/1min/boil),Boiling 12N HCl for 1min (Berner 1970),"Boiled for 1min in concentrated HCl, method of Berner 1970.",5,NULL
287,HCl(1N),1N hydrochloric acid,Digest with 1N hydrochloric acid,NULL,NULL
240,HCl(1N)_2CE,"1N HCl, two-step cation ion exchange chromatography (AGMP-50 resin)","Dissolved in 1N HCl, supernatant for gravity flow column cation exchange (two-step/two sets of columns), BioRad AG MP-50 resin, HCl and HNO3 as eluents",NULL,metal_isotope
335,HCl(1N)_2IE,"1N HCl, two-step ion exchange chromatography (UTEVA resin)","Digest 1N HCl, two step ion exchange chromatography, followed by ion exchange chromatography using UTEVA resin.",NULL,NULL
195,HCl(1N)_AIC,"1N HCl, automated ion chromatography","Dissolved in 1N HCl, automated ion chromatography",NULL,metal_isotope
328,HCl(1N)_CE,"1N HCl, cation exchange chromatography (AG 50W X12 resin)","1N HCl, cation exchange chromatography with AG 50W X12 resin",NULL,metal_isotope
334,HCl(1N)_IE,"1N HCl, ion exchange chromatography (UTEVA resin)","Digest 1N HCl, ion exchange chromatography, followed by ion exchange chromatography using UTEVA resin. See e.g. Weyer et al. 2008",NULL,metal_isotope
7,HCl(24h/cold),Cold HCl (1M or 10%) for 24hr (Raiswell et al. 1994),"Cold HCl, 24hr. Method of Raiswell et al. 1994: 1 M HC1 24 hr. Most papers report as 10% HCl.",8,NULL
311,HCl(2N),2N hydrochloric acid,HCl(2N),NULL,NULL
264,HCl(2N)_AE/CE,"2N HCl, anion and cation exchange chromatography","Double-spike, digest in 2M HCl (supernatant taken up in AR and dried again), ammonium persulfate ((NH4)2S2O8), anion exchange AG1-X8 resin, cation exchange AG50W-X8 resin",NULL,metal_isotope
254,HCl(2N)_CE,"2N HCl, cation exchange chromatography (Sr Spec resin)","2N HCl, with Eichrom Sr Spec resin",NULL,metal_isotope
344,HCl(3N),3N hydrochloric acid,3N HCl digest,NULL,NULL
302,HCl(6N),6N hydrochloric acid,Digest 6N HCl,NULL,NULL
257,HCl(6N)_AE/CE,"6N HCl, anion exchange (AG1X8 resin), cation exchange (AG50W-X8 resin)","Digest in 6 N (or ""concentrated"") HCl, anion exchange Biorad AG1-X8 resin, cation exchange AG 50 W-X8 resin. See e.g. Voegelin et al. 2009.",NULL,metal_isotope
288,HCl(6N)_BPHA,"6N HCl, BHPA resin chromatography (see Li et al. 2014)","Digested in 6M HCl at room temperature for >24 h, separation/purification using N-benzoyl-N-phenyl-hydroxylamine (BPHA) chromatographic resin. Method of Li et al. 2014.",807,metal_isotopes
269,HCl(6N)_CE,"6N HCl, cation exchange chromatography (AGMP-50 resin)","Dissolved in 6N HCl, supernatant for traditional gravity flow cation exchange columns, BioRad AG MP-50 resin",NULL,metal_isotope
321,HCl(6N/24h/hot),Hot 6N HCl for 24h,6N HCl for 24h at near-boiling temperature,NULL,NULL
208,HCl(conc),Concentrated hydrochloric acid (strength not specified),"Concentrated HCl, no details provided",NULL,NULL
10,HCl(decarb),Decarbonated with HCl,"Treated with HCl to remove carbonate. A variety of different concentrations, temperatures and times are used.",NULL,NULL
170,HCl(decarb)_HF/BF3,"Decarb. with HCl, HF and BF3 for kerogen extraction (see Robl and Davis 1993, Stüecken et al. 2015)","Decarbonated in HCl, kerogen extraction with hydroflouric acid, followed by boric acid (see Robl and Davis 1993, Stüecken et al. 2015)",806,NULL
129,HCl(decarb)_MA2,"Decarbonated with HCl, HNO3/HF",Digestion by HNO3/HF on samples which were previously subject to decarbonation,NULL,NULL
350,HCl(decarb)_MA2b,"Decarbonated with HCl, HCl/HF",Digestion by HCl/HF on samples which were previously subject to decarbonation,NULL,NULL
299,HCl(decarb)_RandomMount,"Decarbonated with HCl, random mount","Treated with HCl to remove carbonate, preparation for XRD as an unoriented/random mount.",NULL,NULL
79,HClO4,Perchloric acid,Perchloric acid,NULL,NULL
108,HF,Hydrofluoric acid,Digestion with hydrofluoric acid (originally a CMIBS method),NULL,NULL
134,HNO3,Nitric acid,Digestion with nitric acid,NULL,NULL
306,HNO3(0.4M),0.4M nitric acid,Nitric acid 0.4M,NULL,NULL
347,HNO3(0.5M),0.5M nitric acid,Nitric acid 0.5M,NULL,NULL
351,HNO3(0.5M)_(3AE)_AE/CE,"0.5M HNO3, (anion exchange for Cd), anion and cation exchange chromatography","0.5M HNO3, three step anion exchange chromatography AG-1X8 resin for Cd isotopes, followed by anion and cation exchange for Cr.",NULL,NULL
348,HNO3(0.5M)_3AE,"0.5M HNO3, three step anion exchange chromatography (AG-1X8 resin)","0.5M HNO3, three step anion exchange chromatography AG-1X8 resin",NULL,metal_isotope
349,HNO3(0.5M)_CE,"0.5M HNO3, cation exchange chromatography (Sr Spec resin)","Redissolved in 3M HNO3 after 0.5M HNO3 digest, cation exchange chromatogrpaphy with SrSpec resin",NULL,NULL
65,HNO3(10%)_CB_HNO3(10%),"10% HNO3, combustion/ashing, second leach in 10% HNO3","Leached with 10% HNO3, dried and ashed, leached again with 10% HNO3 to extract REE, dried, reported with respect to TOC content",NULL,NULL
296,HNO3(1M),1M nitric acid,HNO3 1M ,NULL,metal_isotope
222,HNO3(1M)_2IE,"1M HNO3, 2 x ion exchange chromatography (UTEVA)","1M HNO3 and concentrated HNO3, then treated with reverse aqua regia, hydrogen peroxide, and concentrated nitric acid. Uranium separated by ion exchange chromatography using UTEVA resin.",NULL,metal_isotope
338,HNO3(1M)_IE,"1M HNO3, ion exchange chromatography (UTEVA resin)","1M HNO3, treated using reverse aqua regia, H2O2, and concentrated HNO3, ion exchange chromatography with UTEVA resin.",NULL,metal_isotope
337,HNO3(1M)_IE/AIC,"1M HNO3, ion exchange chromatography (UTEVA) + automated ion chromatography (DGA resin)","HNO3 1M, ion exchange chromatography with UTEVA resin, automated ion chromatography (ESI PrepFast-MC system) Eichrom DGA resin.",NULL,metal_isotope
142,HNO3(2%),2% nitric acid,Digestion via pre-leach and partial leach in 2% HNO3,NULL,carbonate_proxy
305,HNO3(2M),2M nitric acid,Nitric acid 2N,NULL,NULL
282,HNO3(2M)_2AE,"2M HNO3, two-column anion exchange chromatography (AG1X8 resin) ","HNO3 2M at 130deg for 12hrs, acid/heat treatments (variable: aqua regia, HCl and/or HNO3, +/- H2O2), 1 M HCl with brominated H2O, two-column anion exchange AG1-X8 resin. See Owens et al. 2017",NULL,metal_isotope
286,HNO3(2M)_AE,"2M HNO3, one-column anion exchange chromatography (AG1X8 resin) ","HNO3 2M at 130deg for 12hrs, acid treatments (variable: aqua regia, HCl and/or HNO3 +/- H2O2), 1 M HCl with brominated H2O, one micro-column procedure AG1-X8 resin. See Owens et al. 2017, Ostrander et al. 2017",NULL,metal_isotope
275,HNO3(2M)_CE/3AE,"2M HNO3, cation (AG50WX12 resin) and 3x anion exchange chromatography (AG1X8 resin). WHOI method.","Partial digest in 2N HNO3, ion exchange chromatography four-column method (one cation exchange AG 50W-X12 resin, three anion exchange AG1-X8 resin), see analysis notes for details. Standard WHOI procedure based on e.g. Nielsen et al. 2011, 2016, 2019.",NULL,metal_isotope
283,HNO3(2M)_MA2_2AE,"2M HNO3, HNO3/HF, two-column anion exchange chromatography (AG1X8 resin)","HNO3 2M at 130deg for 12hrs, acid treatments (variable: aqua regia, HCl and/or HNO3, +/- H2O2), digest of residue in HNO3/HF, 1 M HCl with brominated H2O, two column anion exchange AG1-X8 resin. See Owens et al. 2017",NULL,metal_isotope
297,HNO3(3%),3% nitric acid,Nitric acid 3%,NULL,NULL
363,HNO3(3%)_NH4OH/MeOH,"3% nitric acid, ammonium hydroxide–methanol solution","Carbonate digest in HNO₃ followed by dilution with an ammonium hydroxide–methanol matrix to stabilise iodine (I/Ca, I/[Ca+Mg] analyses)",NULL,NULL
238,HNO3(3%)_TA,"3% nitric acid, tertiary amine solution","Carbonate digest in HNO3 followed by dilution and tertiary amine solution to stabilize iodine (I/Ca, I/[Ca+Mg] analyses)",NULL,NULL
307,HNO3(5%),5% nitric acid,Nitric acid 5%,NULL,NULL
274,HNO3(5%)_AE(HBr-HCl),"5% HNO3, converted with HBr, anion exchange chromatography","HNO3 digest, converted with HBr, anion exchange BioRad AG-1X8 resin. See Kamber and Gladu 2009 (assuming strong HCl version -  HBr-HCl in their terminology).",NULL,metal_isotope
308,HNO3(7N),7N nitric acid,Nitric acid 7N,NULL,NULL
112,HNO3(part),HNO3 partial digest (no strength specified),"Partial digestion with nitric acid, no strength specified",NULL,NULL
122,KClO3(part),Partial digestion with potassium chlorate (CMIBS method),Partial digestion with potassium chlorate (originally a CMIBS method),NULL,NULL
111,KNO3,Potassium nitrate (CMIBS method),Digestion with potassium nitrate (originally a CMIBS method),NULL,NULL
116,LMF,Lithium metaborate (LiBO2) fusion,Lithium metaborate (LiBO2) fusion,NULL,NULL
324,LMF_2AE/CE,"Lithium metaborate flux, anion (x2) and cation exchange chromatography","Lithium metaborate flux, double-spike, anion exchange AG1-X8, anion exchange microcolumns AG1-X8, cation exchange AG50W-X8. Ox. prior to 1st col. potassium peroxidisulfate (K2S2O8) OR prior to 2nd column with ammonium persulfate ((NH4)2S2O8)",NULL,metal_isotope
186,LMF_HNO3(5%),"Lithium metaborate fusion, 5% HNO3 (see e.g. Bureau Veritas method 4A-4B)","Lithium metaborate (LiBO2) fusion, followed by dilute nitric (HNO3) acid digestion. See e.g. Bureau Veritas method 4A-4B.",NULL,NULL
155,LMF_MA2c,"Lithium metaborate fusion, HF/HClO4 digest","Lithium metaborate (LiBO2) fusion, followed by hydroflouric (HF) and perchloric (HClO4) acid digestion.",NULL,NULL
43,LTF,Lithium tetraborate (aka lithium borate) fusion,"Lithium tetraborate (Li2B4O7) fusion, aka lithium borate fusion.",NULL,NULL
